Location,Country_work,Country,,change,other?
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Pennsylvania,United States,USA,,,
Pennsylvania,United States,USA,,,
,United States,,,,
Pennsylvania,United States,USA,,,
District of Columbia,United States,USA,,,
California,United States,USA,,,
New York,United States,USA,,,
Germany,Australia,Germany,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
United Kingdom,United Kingdom,United Kingdom,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Utah,United States,USA,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
France,France,France,,,
Alberta,Canada,Canada,,,
United Kingdom,Canada,United Kingdom,,,
,Canada,,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
,Canada,,,,
,Canada,,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
,Canada,,,,
Quebec,Canada,Canada,,,
Singapore,Singapore,Singapore,,,
United Kingdom,Malta,United Kingdom,,,
Malta,Malta,Malta,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
,Uruguay,,,,
,Uruguay,,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Chile,Chile,Chile,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Massachusetts,United States,USA,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
,Uruguay,,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
,Uruguay,,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
New York,Uruguay,USA,,,
Uruguay,Uruguay,Uruguay,,,
Malta,Malta,Malta,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Quebec,Uruguay,Canada,,,
Iceland,Uruguay,Iceland,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Virginia,United States,USA,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
,Uruguay,,,,
Uruguay,Uruguay,Uruguay,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Japan,Malta,Japan,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Romania,Malta,Romania,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
United Kingdom,Malta,United Kingdom,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Luxembourg,Malta,Luxembourg,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Uruguay,Uruguay,Uruguay,,,
Ethiopia,Ethiopia,Ethiopia,,,
Ethiopia,Ethiopia,Ethiopia,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Ethiopia,Ethiopia,Ethiopia,,,
Malta,Malta,Malta,,,
Uruguay,Uruguay,Uruguay,,,
Quebec,Canada,Canada,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Mexico,Mexico,Mexico,,,
Arizona,United States,USA,,,
Mexico,Mexico,Mexico,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
South Africa,South Africa,South Africa,,,
Cameroon,Cameroon,Cameroon,,,
,Nigeria,,,,
,Egypt,,,,
Malaysia,Malaysia,Malaysia,,,
Kenya,,Kenya,,,
Belgium,Uganda,Belgium,,,
Uganda,Uganda,Uganda,,,
Ontario,India,Canada,,,
Chile,Chile,Chile,,,
Chile,Chile,Chile,,,
Uruguay,Uruguay,Uruguay,,,
India,India,India,,,
Chile,Chile,Chile,,,
Chile,Chile,Chile,,,
United Kingdom,Chile,United Kingdom,,,
Uruguay,Uruguay,Uruguay,,,
United Kingdom,Ethiopia,United Kingdom,,,
Spain,Spain,Spain,,,
India,India,India,,,
,India,,,,
India,India,India,,,
Arizona,Chile,USA,,,
,India,,,,
India,India,India,,,
Kenya,Kenya,Kenya,,,
Indonesia,India,Indonesia,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
France,Uruguay,France,,,
Iowa,United States,USA,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
India,India,India,,,
Uruguay,Uruguay,Uruguay,,,
India,India,India,,,
India,India,India,,,
,India,,,,
India,India,India,,,
India,India,India,,,
Japan,India,Japan,,,
India,India,India,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
India,India,India,,,
India,India,India,,,
Switzerland,India,Switzerland,,,
Ontario,India,Canada,,,
India,India,India,,,
India,India,India,,,
India,India,India,,,
Indonesia,India,Indonesia,,,
India,India,India,,,
India,India,India,,,
India,India,India,,,
India,India,India,,,
India,India,India,,,
,India,,,,
Minnesota,United States,USA,,,
Massachusetts,United States,USA,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Argentina,Argentina,Argentina,,,
Uruguay,Uruguay,Uruguay,,,
Argentina,Uruguay,Argentina,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Brazil,Uruguay,Brazil,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Brazil,Brazil,Brazil,,,
Uruguay,Uruguay,Uruguay,,,
,Uruguay,,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
,Uruguay,,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
,Uruguay,,,,
Spain,Spain,Spain,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,Uruguay,Uruguay,,,
Uruguay,,Uruguay,,,
Turkey,Turkey,Turkey,,,
India,India,India,,,
Belgium,Belgium,Belgium,,,
Belgium,Belgium,Belgium,,,
Ontario,United States,Canada,,,
Ontario,Iran,Canada,,,
,Germany,,,,
Poland,Poland,Poland,,,
Ontario,India,Canada,,,
Poland,Poland,Poland,,,
,Cameroon,,,,
Uruguay,Uruguay,Uruguay,,,
Sudan,Sudan,Sudan,,,
Argentina,Argentina,Argentina,,,
Vietnam,Vietnam,Vietnam,,,
Thailand,Thailand,Thailand,,,
Thailand,,Thailand,,,
Uruguay,Uruguay,Uruguay,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
Australia,New Zealand,Australia,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
Uruguay,Uruguay,Uruguay,,,
,New Zealand,,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Malta,Marshall Islands,Malta,,,
Malta,Malta,Malta,,,
Malta,Malta,Malta,,,
Uruguay,Uruguay,Uruguay,,,
,India,,,,
India,India,India,,,
India,India,India,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
New Jersey,Sweden,USA,,,
Illinois,United Kingdom,USA,,,
India,India,India,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Germany,India,Germany,,,
Australia,Australia,Australia,,,
India,India,India,,,
India,India,India,,,
India,India,India,,,
,Uruguay,,,,
India,India,India,,,
