"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group","id","class","percent_applied_research_current","percent_applied_research_past","percent_fundamental_research_current","percent_fundamental_research_past","percent_use_inspired_research_current","percent_use_inspired_research_past","changed_10yrs","main_reason_change_interest_related","main_reason_change_career_related","main_reason_change_funding_related","main_reason_change_socially_related","main_reason_change_other","Main_reason_change_Other_text","view_change_of_type","partnership_outside_current","partnership_outside_before","partnership_change_10yrs","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_applied","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_6_10_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_for_profit","distribution_funding_11_15_government","distribution_funding_11_15_internal","distribution_funding_11_15_nongov","distribution_funding_11_15_other","distribution_funding_6_10_for_profit","distribution_funding_6_10_government","distribution_funding_6_10_internal","distribution_funding_6_10_nongov","distribution_funding_6_10_other","distribution_funding_11_15_other_text","distribution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","high_priority_comments","next_generation_comments","final_comments","OCED_category"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1997","Senior academic researcher with >10 years of experience applying for research grants",2299,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","Some partnership","Yes",1,NA,NA,1,NA,"","Slightly positive","1-3","7-9","0","1-3","7-9","0","100","No need for applications for this research type","50","70","No need for applications for this research type","70","Quite important","Somewhat important","Mandatory","Mandatory","10","70","20","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Can't comment","Decreased","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1991","Senior academic researcher with >10 years of experience applying for research grants",2300,"developed","30","20","40","60","30","20","Yes",1,NA,NA,NA,NA,"","Very positive","No partnership","","No",NA,NA,NA,NA,NA,"","","0","0","4-6","0","0","4-6","","0","","","0","","Not at all important","Not at all important","Not at all important","Not at all important","0","0","100","0","0","0","0","100","0","0","","","Stayed the same","Stayed the same","Stayed the same","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will increase slightly","","","","High Income"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1979","Senior academic researcher with >10 years of experience applying for research grants",2301,"developed","40",NA,"30",NA,"30",NA,"No",NA,NA,NA,NA,NA,"","","Strong partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Neutral","13-15","1-3","4-6","4-6","1-3","1-3","10","40","70","10","20","30","Mandatory","Very important","Mandatory","Quite important","46.6666666666667","33.3333333333333","20","0","0","20","40","40","0","0","","","Decreased","Increased","Increased considerably","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will decrease slightly","","","In my area of interest (sustainable chemistry, soil science the boundary between Fundamental and Applied research is often blurred and fundamental studies are needed to inform applications and technology that might emerge from the research. We need to be careful to not make distinctions that don't really exist as most fundamental research will lead to applications and commercial outcomes!","High Income"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","1997","Senior academic researcher with >10 years of experience applying for research grants",2302,"developed","50",NA,"50",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Slightly positive","4-6","7-9","0","4-6","7-9","0","50","","50","30","","10","Mandatory","Very important","Not at all important","Not at all important","0","80","10","10","0",NA,NA,NA,NA,NA,"","","Decreased","Can't comment","Decreased","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will decrease slightly","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Interdisciplinary Science","Australia","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2303,"developed","100",NA,"0",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","No partnership","Yes",1,NA,NA,NA,NA,"","Neutral","7-9","0","7-9","0","0","0","No need for applications for this research type","30","30","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Not at all important","Can't comment","0","90","10","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Decreased considerably","Decreased considerably","Not very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly","","","","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","1983","Senior academic researcher with >10 years of experience applying for research grants",2304,"developed","0",NA,"90",NA,"10",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","Some partnership","Yes",1,NA,NA,NA,NA,"","Very positive","0","4-6","1-3","0","4-6","0","30","30","","30","","","Somewhat important","Somewhat important","Mandatory","Not very important","0","90","0","10","0","0","100","0","0","0","","","Stayed the same","Stayed the same","","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same","","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1996","Senior academic researcher with >10 years of experience applying for research grants",2305,"developed","0","0","20","20","80","70","Yes",1,NA,1,NA,NA,"","Slightly positive","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","4-6","10-12","1-3","1-3","7-9","20","20","50","30","","","Very important","Somewhat important","Not at all important","Not at all important","0","70","20","10","0","0","80","10","10","0","","","Decreased considerably","Decreased","Stayed the same","Not at all important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2004","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2306,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","0","0","1-3","0","30","No need for applications for this research type","No need for applications for this research type","30","No need for applications for this research type","No need for applications for this research type","Can't comment","Can't comment","Not at all important","Not at all important","0","70","30","0","0",NA,NA,NA,NA,NA,"","","Stayed the same","Can't comment","Can't comment","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly","","","","High Income"
"Australia","Australia","Australia","Male","Interdisciplinary Science","Australia","1986","Senior academic researcher with >10 years of experience applying for research grants",2307,"developed","0","0","70","40","30","60","Yes",1,NA,NA,NA,NA,"","Very positive","No partnership","","No",NA,NA,NA,NA,NA,"","","0","0","1-3","0","1-3","1-3","0","10","No need for applications for this research type","0","0","No need for applications for this research type","Somewhat important","Somewhat important","Not very important","Not very important","0","10","90","0","0","0","0","100","0","0","","","Decreased","Increased","Can't comment","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease slightly","Over the last 3 years, the Australian government has sought to underplay the importance of fundamental climate science. It has placed more emphasis on for-profit use-inspired and applied research, and underplayed public-good use-inspired research.","Difficult to say in general terms. The changes will discourage some and encourage others, but overall the current government is perceived to be anti-science, or at least somewhat suspicious of science, so the general climate is not encouraging for the next generation.","Interdisciplinary science is particularly difficult to get funded, in Australia and elsewhere. See http://www.nature.com/news/interdisciplinary-proposals-struggle-to-get-funded-1.20189  On paper the Australian Research Council encourages cross-disciplinary science but in reality only pays lip service to it - for example it has no interdisciplinary assessment panel. My research spans physics and biology, so whichever panel my proposal goes to understands at best 60% of the project. Being fundamental science makes it even harder to get funding. ","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2308,"developed","10","0","60","90","30","10","Yes",1,1,NA,1,NA,"","Very positive","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","1-3","0","1-3","0","50","100","70","50","","","Somewhat important","Not at all important","Not at all important","Not at all important","0","50","50","0","0","0","100","0","0","0","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,1,NA,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Female","Interdisciplinary Science","Australia","2003","Senior academic researcher with >10 years of experience applying for research grants",2309,"developed","30",NA,"0",NA,"70",NA,"No",NA,NA,NA,NA,NA,"","","Strong partnership","","No",NA,NA,NA,NA,NA,"","","0","0","7-9","0","0","4-6","","50","","","50","","Very important","Very important","Mandatory","Mandatory","0","90","0","10","0","0","90","0","10","0","","","Can't comment","Decreased considerably","Decreased considerably","Can't comment",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly","","","","High Income"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1985","Senior academic researcher with >10 years of experience applying for research grants",2310,"developed","20",NA,"50",NA,"30",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","4-6","0","20","","","20","","","Very important","Very important","Not very important","Not very important","0","100","0","0","0","0","100","0","0","0","","","Decreased","Increased","Increased","Very important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2311,"developed","30","10","70","90","0","0","Yes",1,1,1,NA,NA,"","Neutral","No partnership","No partnership","No",1,1,NA,1,NA,"","Slightly positive","1-3","7-9","0","0","4-6","0","0","No need for applications for this research type","30","90","No need for applications for this research type","No need for applications for this research type","Mandatory","Somewhat important","Not very important","Not very important","0","0","0","100","0","0","90","10","0","0","","","Decreased considerably","Stayed the same","Stayed the same","Very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1985","Senior academic researcher with >10 years of experience applying for research grants",2312,"developed","0","0","70","100","20","0","Yes",1,1,1,1,NA,"","Very positive","Some partnership","","No",NA,NA,NA,NA,NA,"","","0","7-9","1-3","0","7-9","1-3","60","50","","60","50","No need for applications for this research type","Very important","Quite important","Not at all important","Not at all important","20","80","0","0","0","20","80","0","0","0","","","Decreased","Increased","Increased considerably","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will increase considerably","Translational work is definitely increasing.  ","","","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2313,"developed","30",NA,"30",NA,"30",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","4-6","4-6","4-6","1-3","1-3","0","100","","100","50","No need for applications for this research type","50","Very important","Very important","Quite important","Quite important","30","70","0","0","0","0","100","0","0","0","","","Decreased","Stayed the same","Increased","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2314,"developed","0",NA,"100",NA,"50",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","10-12","0","0","4-6","0","30","No need for applications for this research type","No need for applications for this research type","50","No need for applications for this research type","No need for applications for this research type","Mandatory","Quite important","Not very important","Not very important","0","0","80","20","0","0","0","0","100","0","","","Decreased considerably","Can't comment","Can't comment","Somewhat important",NA,1,NA,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","1987","Senior academic researcher with >10 years of experience applying for research grants",2315,"developed","0",NA,"70",NA,"30",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","Some partnership","Yes",NA,NA,NA,NA,1,"opportunity-dependent, related to funds, research outcomes and commercial interestt.","Very positive","0","1-3","1-3","0","1-3","1-3","10","50","","10","50","","Very important","Very important","Quite important","Quite important","30","60","10","0","0","30","60","10","0","0","","","Decreased","Stayed the same","","Not very important",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","","Will stay the same","I like the idea of seeing my research put to use. I have my eyes open for opportunities and have benefitted from excellent collaborations with researchers in the state department of agriculture. I don't distinguish between use-inspired research and basic research in a strict sense. Every grant proposal has elements of both. I like that. Utility provides a focus.","","Scientific research is a tough career, but it is such an excellent endeavour. It can be an amazingly fulfilling and exciting occupation - but it is tough. The way the career is currently structured, it seems to waste an enormous amount of time preparing research grants. Since time = money, it seems completely stupid to waste money specifically because funds are tight.","High Income"
"Arizona","Australia","United States","Female","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1997","Senior academic researcher with >10 years of experience applying for research grants",2316,"developed","0","0","60","100","40","0","Yes",NA,1,1,NA,NA,"","Slightly positive","No partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Slightly negative","0","4-6","0","0","4-6","0","100","","","100","","","Mandatory","Quite important","Quite important","Quite important","0","80","20","0","0","10","70","20","0","0","","","Decreased considerably","Decreased considerably","Stayed the same","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will increase considerably","Will increase considerably","","","we need fundamental research and support for this research is going down.","High Income"
"Australia","Australia","Australia","Female","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2001","Senior academic researcher with >10 years of experience applying for research grants",2317,"developed","0",NA,"50",NA,"50",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","0","","","100","","","Can't comment","Can't comment","Can't comment","Can't comment","0","0","100","0","0","0","80","20","0","0","","","Can't comment","Can't comment","Can't comment","Can't comment",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","Can't comment","probably more application focussed.","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","I did not complete a PhD","Senior academic researcher with >10 years of experience applying for research grants",2318,"developed","100",NA,"0",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","1-3","0","0","1-3","0","0","No need for applications for this research type","No need for applications for this research type","90","No need for applications for this research type","No need for applications for this research type","90","Very important","Very important","Quite important","Quite important","0","50","50","0","0",NA,NA,NA,NA,NA,"","","Stayed the same","Stayed the same","Stayed the same","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2003","Senior academic researcher with >10 years of experience applying for research grants",2319,"developed","20","50","50","20","30","30","Yes",1,NA,NA,NA,NA,"","Slightly positive","No partnership","Strong partnership","Yes",NA,NA,NA,1,NA,"","Very negative","4-6","4-6","4-6","10-12","4-6","4-6","0","10","10","0","10","30","Mandatory","Mandatory","Quite important","Quite important","0","70","10","20","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Stayed the same","Increased considerably","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will stay the same","","","Some of the changes I report over the last 10 years are due to me moving to Australia from the USA during that period. There is much less commercial support for research in Australia than the USA.","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","1983","Senior academic researcher with >10 years of experience applying for research grants",2320,"developed","20","20","20","60","60","20","Yes",1,NA,1,NA,NA,"","Very positive","Some partnership","Some partnership","Yes",1,NA,NA,NA,NA,"","Very positive","1-3","4-6","4-6","1-3","7-9","4-6","10","90","60","10","90","50","Very important","Very important","Somewhat important","Somewhat important","10","80","0","10","0",NA,NA,NA,NA,NA,"","","Decreased","Decreased","Stayed the same","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly","","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1989","Senior academic researcher with >10 years of experience applying for research grants",2321,"developed","70",NA,"0",NA,"30",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","Some partnership","Yes",1,NA,NA,1,NA,"","Very positive","10-12","1-3","7-9","1-3","0","0","0","20","30","No need for applications for this research type","0","10","Quite important","Can't comment","Quite important","Quite important","10","30","20","40","0","20","30","40","10","0","","","Can't comment","Stayed the same","Increased","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will increase slightly","","Always an optimist","Curious about the outcome of the survey -- well done!","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2322,"developed","0","0","50","80","50","20","Yes",1,NA,1,NA,NA,"","Slightly positive","No partnership","No partnership","Yes",NA,1,NA,NA,NA,"","Slightly positive","0","4-6","0","0","4-6","0","100","No need for applications for this research type","No need for applications for this research type","100","No need for applications for this research type","No need for applications for this research type","Somewhat important","Not at all important","Not at all important","Not at all important","0","80","20","0","0","0","90","10","0","0","","","Can't comment","Can't comment","Can't comment","Can't comment",NA,NA,NA,1,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2323,"developed","90",NA,"90",NA,"10",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","1-3","0","0","0","0","50","No need for applications for this research type","50","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Quite important","Not at all important","0","100","0","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Can't comment","Increased considerably","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","2005","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2324,"developed","0","0","80","90","20","10","Yes",1,NA,NA,NA,NA,"","Neutral","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","1-3","0","1-3","1-3","10","10","No need for applications for this research type","10","0","No need for applications for this research type","Quite important","Not at all important","Somewhat important","Not at all important","0","90","0","10","0",NA,NA,NA,NA,NA,"","","Decreased","Increased","Increased","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly","","","","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","1982","Senior academic researcher with >10 years of experience applying for research grants",2325,"developed","0","10","20","30","70","60","Yes",NA,NA,1,NA,NA,"","Neutral","Strong partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Neutral","1-3","1-3","4-6","0","4-6","4-6","20","30","50","10","50","50","Very important","Quite important","Somewhat important","Not very important","30","30","20","20","0","10","40","30","20","0","","","Decreased","Increased","Stayed the same","Very important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will increase considerably","There is strong pressure from our federal government to foster commercialisation of research and applied research with a strong client focus.  Fundamental research grant success rates have fallen to less than 10% while ""linkage to industry"" grants remain at 50-60%. and funding of commercialisation, start ups and applied areas have expanded greatly. ","It is becoming increasingly difficult to find graduate students and less that 10% remain in science after 1 postdoc.","I hope this survey and study are useful for decision makers. There is a real trend for politicians to focus on the ""commercialisation pipeline"" but once built this pipeline must be filled with ideas and innovation!","High Income"
"Australia","Australia","Australia","Female","Natural Science","Australia","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2326,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","0","0","1-3","0","0","No need for applications for this research type","No need for applications for this research type","100","No need for applications for this research type","No need for applications for this research type","Quite important","Quite important","Somewhat important","Not very important","0","0","60","40","0","0","0","0","0","100","","Mixed government and foundation funding","Decreased considerably","Increased considerably","Increased considerably","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will increase considerably","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","2003","Senior academic researcher with >10 years of experience applying for research grants",2327,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Slightly positive","0","1-3","0","0","1-3","0","60","","","60","","","Mandatory","Very important","Quite important","Somewhat important","10","40","50","0","0","0","90","10","0","0","","","Decreased considerably","Stayed the same","Increased considerably","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Can't comment","Will decrease considerably","","","Fundamental research is important. In my view it yields better, though often unexpected outcomes. Applied research is often pseudo applied - people pretend it has an application when it doesn't and often yields useless outcomes. I think it's a terrible error that we've drifted away from it. Short sighted behaviour by the government and funding agencies.","High Income"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2002","Senior academic researcher with >10 years of experience applying for research grants",2328,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","0","0","1-3","0","70","","","100","","","Not at all important","Not at all important","Not at all important","Not at all important","0","100","0","0","0","0","100","0","0","0","","","Stayed the same","Can't comment","Can't comment","Somewhat important",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same","","","","High Income"
"Germany","Australia","Germany","Male","Medicine and Life Science","Australia","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2329,"developed","10","0","30","40","50","60","Yes",1,NA,NA,NA,NA,"","Very positive","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","1-3","4-6","0","1-3","0","50","30","10","100","","","Quite important","Somewhat important","Somewhat important","Not very important","0","40","40","20","0","0","40","40","20","0","","","Decreased","Decreased","Decreased","Very important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will increase slightly","","","","High Income"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1992","Senior academic researcher with >10 years of experience applying for research grants",2330,"developed","50",NA,"0",NA,"50",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","Strong partnership","Yes",NA,NA,NA,1,NA,"","Slightly negative","7-9","0","10-12","10-12","0","7-9","","20","10","","20","20","Very important","Quite important","Not very important","Somewhat important","0","70","10","20","0","20","50","10","20","0","","","Can't comment","Decreased","Decreased","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly","","","","High Income"
"United Kingdom","United Kingdom","United Kingdom","Male","Physical Science (eg. math, physics, chemistry, computer science)","United Kingdom","2003","Senior academic researcher with >10 years of experience applying for research grants",2331,"developed","0","10","100","90","0","0","Yes",1,1,NA,NA,NA,"","Slightly positive","No partnership","Some partnership","Yes",1,1,NA,NA,NA,"","Slightly positive","0","1-3","0","0","1-3","0","50","No need for applications for this research type","No need for applications for this research type","60","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Not at all important","Not at all important","0","60","40","0","0","0","60","40","0","0","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,1,NA,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease slightly","Unfortunately. I see a danger in sacrificing fundamental research in the interest of applied stuff. Funding bodies seem to push this more and more. :-(","","","High Income"
"Australia","Australia","Australia","Male","Natural Science","Australia","2013","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2332,"developed","10",NA,"70",NA,"20",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","4-6","0","0","1-3","0","60","No need for applications for this research type","No need for applications for this research type","60","No need for applications for this research type","No need for applications for this research type","Not at all important","Somewhat important","Not very important","Somewhat important","0","80","20","0","0","0","100","0","0","0","","","Decreased","Increased","Increased","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will increase slightly","","","","High Income"
"Australia","Australia","Australia","Female","Natural Science","Australia","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2333,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","10-12","0","0","0","0","20","","","","","","Quite important","Can't comment","Quite important","Can't comment","0","0","0","100","0",NA,NA,NA,NA,NA,"","","Decreased","Stayed the same","Increased","Not at all important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2013","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2334,"developed","0",NA,"100",NA,"0",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","1-3","0","0","0","0","50","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Somewhat important","Can't comment","Not at all important","Can't comment","0","90","10","0","0",NA,NA,NA,NA,NA,"","","Decreased","Can't comment","Can't comment","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably","","","","High Income"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2003","Senior academic researcher with >10 years of experience applying for research grants",2335,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","0","0","1-3","0","80","","","100","","","Not at all important","Not at all important","Not at all important","Not at all important","0","90","10","0","0","0","100","0","0","0","","","Stayed the same","Stayed the same","Stayed the same","Not very important",NA,1,NA,NA,"Will decrease considerably","Will increase slightly","Will stay the same","Will decrease slightly","","","","High Income"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",2336,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","0","0","60","","","","","","Can't comment","Can't comment","Can't comment","Can't comment","0","60","40","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","","","Somewhat important",NA,NA,1,NA,"Will stay the same","","Will increase considerably","Will stay the same","","","","High Income"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","","Senior academic researcher with >10 years of experience applying for research grants",2337,"developed","50","30","0","70","50","0","Yes",NA,1,NA,1,NA,"","Very positive","Some partnership","No partnership","Yes",1,NA,NA,1,NA,"","Very positive","4-6","0","1-3","0","0","1-3","","","","No need for applications for this research type","20","20","Mandatory","Mandatory","Quite important","Quite important","20","80","0","0","0","0","80","20","0","0","","","Decreased","Increased considerably","Increased considerably","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will increase slightly","","","","High Income"
"Australia","Australia","Australia","Male","","Australia","","Senior academic researcher with >10 years of experience applying for research grants",2338,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","10-12","0","0","7-9","0","90","","","90","","","Somewhat important","Somewhat important","Not at all important","Not at all important","0","80","10","10","0","0","80","10","10","0","","","Stayed the same","Can't comment","Can't comment","",NA,NA,NA,NA,"","","","","","","","High Income"
