"Location","Country_work","Country"
"Ethiopia","Ethiopia","Ethiopia"
"Malta","Malta","Malta"
"Uruguay","Uruguay","Uruguay"
"Quebec","Canada","Canada"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Mexico","Mexico","Mexico"
"Arizona","United States","United States"
"Mexico","Mexico","Mexico"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"South Africa","South Africa","South Africa"
"Cameroon","Cameroon","Cameroon"
"","Nigeria",""
"","Egypt",""
"Malaysia","Malaysia","Malaysia"
"Kenya","","Kenya"
"Belgium","Uganda","Belgium"
"Uganda","Uganda","Uganda"
"Ontario","India","Canada"
"Chile","Chile","Chile"
"Chile","Chile","Chile"
"Uruguay","Uruguay","Uruguay"
"India","India","India"
"Chile","Chile","Chile"
"Chile","Chile","Chile"
"United Kingdom","Chile","United Kingdom"
"Uruguay","Uruguay","Uruguay"
"United Kingdom","Ethiopia","United Kingdom"
"Spain","Spain","Spain"
"India","India","India"
"","India",""
"India","India","India"
"Arizona","Chile","United States"
"","India",""
"India","India","India"
"Kenya","Kenya","Kenya"
"Indonesia","India","Indonesia"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"France","Uruguay","France"
"Iowa","United States","United States"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"India","India","India"
"Uruguay","Uruguay","Uruguay"
"India","India","India"
"India","India","India"
"","India",""
"India","India","India"
"India","India","India"
"Japan","India","Japan"
"India","India","India"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"India","India","India"
"India","India","India"
"Switzerland","India","Switzerland"
"Ontario","India","Canada"
"India","India","India"
"India","India","India"
"India","India","India"
"Indonesia","India","Indonesia"
"India","India","India"
"India","India","India"
"India","India","India"
"India","India","India"
"India","India","India"
"","India",""
"Minnesota","United States","United States"
"Massachusetts","United States","United States"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Argentina","Argentina","Argentina"
"Uruguay","Uruguay","Uruguay"
"Argentina","Uruguay","Argentina"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Brazil","Uruguay","Brazil"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Brazil","Brazil","Brazil"
"Uruguay","Uruguay","Uruguay"
"","Uruguay",""
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"","Uruguay",""
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"","Uruguay",""
"Spain","Spain","Spain"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","Uruguay","Uruguay"
"Uruguay","","Uruguay"
"Turkey","Turkey","Turkey"
"India","India","India"
"Belgium","Belgium","Belgium"
"Belgium","Belgium","Belgium"
"Ontario","United States","Canada"
"Ontario","Iran","Canada"
"","Germany",""
"Poland","Poland","Poland"
"Ontario","India","Canada"
"Poland","Poland","Poland"
"","Cameroon",""
"Uruguay","Uruguay","Uruguay"
"Sudan","Sudan","Sudan"
"Argentina","Argentina","Argentina"
"Vietnam","Vietnam","Vietnam"
"Thailand","Thailand","Thailand"
"Thailand","","Thailand"
"Uruguay","Uruguay","Uruguay"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Australia","New Zealand","Australia"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand"
"Uruguay","Uruguay","Uruguay"
"","New Zealand",""
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Malta","Marshall Islands","Malta"
"Malta","Malta","Malta"
"Malta","Malta","Malta"
"Uruguay","Uruguay","Uruguay"
"","India",""
"India","India","India"
"India","India","India"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"New Jersey","Sweden","United States"
"Illinois","United Kingdom","United States"
"India","India","India"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Germany","India","Germany"
"Australia","Australia","Australia"
"India","India","India"
"India","India","India"
"India","India","India"
"","Uruguay",""
"India","India","India"
