Status,Location,what_participant_group,percent_fundemental_research_current,percent_Use_inspired_Research_current,percent_Applied_Research_current,changed_10yrs,percent_Fundamental_Research_past,percent_Use_inspired_Research_past,percent_Applied_Research_past,Main_reason_change_interest_related,Main_reason_change_Career_related,Main_reason_change_Funding_related,Main_reason_change_Socially_related,Main_reason_change_Other,Main_reason_change_Other_text,view_change_of_type,level_partnership_outside_academia,Level_partnership_outside_academia_change_10yrs,level_partnership_outside_academia_before_shift,Main_reason_level_partnership_change_Interest_related,Main_reason_level_partnership_change_Career_related,Main_reason_level_partnership_change_Socially_related,Main_reason_level_partnership_change_Funding_related,Main_reason_level_partnership_change_Other,Main_reason_level_partnership_change_Other_text,view_change_level_partnership_outside_academia,estimate_external_pi_grant_apps_2011_2015_Fundamental_Research,estimate_external_pi_grant_apps_2011_2015_Use-inspired_Research,estimate_external_pi_grant_apps_2011_2015_Applied_Research,estimate_external_pi_grant_apps_2006_2010_Fundamental_Research,estimate_external_pi_grant_apps_2006_2010_Use-inspired_Research,estimate_external_pi_grant_apps_2006_2010_Applied_Research,estimate_successful_grants_2011_2015_Fundamental_Research,estimate_successful_grants_2011_2015_Use-inspired_Research,estimate_successful_grants_2011_2015_Applied_Research,estimate_successful_grants_2006_2010_Fundamental_Research,estimate_successful_grants_2006_2010_Use-inspired_Research,estimate_successful_grants_2006_2010_Applied_Research,suggesting_practical_applications_important_to_grant_success_2011_2015,Main_reason_level_partnership_change_Other_text,based_your_grant_important_include_nonacademia_partners_success_2011_2015,based_your_grant_important_include_nonacademia_partners_success_2006_2010,estimate_distribution_funding_sources_2011_2015_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Government,based_your_grant_important_include_nonacademia_partners_success_2011_2015_For_profit_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Other,based_your_grant_important_include_nonacademia_partners_success_2011_2015_other_text,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Government,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Forprofit_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Other,based_your_grant_important_include_nonacademia_partners_success_2006_2010_other_text,general_grant_success_change_10yrs_Fundamental_Research,general_grant_success_change_10yrs_Use_inspired_Research,general_grant_success_change_10yrs_Applied_Research,opinion_fundamental_important,high_priority_fundamental,high_priority_use_inspired,high_priority_applied,high_priority_no_change,high_priority_comments,available_funding_fundamental,available_funding_use_inspired,available_funding_applied,next_generation,next_generation_Comments,field_research,PhD_Year,Country_work,gender
Complete,Illinois,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,0%,0%,100%,No,,,,,,,,,,,Some partnership,Yes,Strong partnership,,,,1,,,Very positive,0,3-Jan,3-Jan,0,3-Jan,3-Jan,0%,0%,100%,0%,0%,100%,Mandatory,Mandatory,Somewhat important,Somewhat important,100%,,,,,,100%,,,,,,Stayed the same,Stayed the same,Decreased considerably,Somewhat important,,,1,,,Will stay the same,Will stay the same,Will increase considerably,Will stay the same,,Engineering,I did not complete a PhD,United States,Male
Incomplete,France,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,90%,10%,0%,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,3-Jan,0,0,3-Jan,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Finland,Senior academic researcher with >10 years of experience applying for research grants,90%,,10%,Yes,100%,,,1,,1,,,,Slightly positive,No partnership,No,,,,,,,,,9-Jul,0,3-Jan,6-Apr,0,0,20%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Not at all important,Quite important,Not very important,70%,30%,0%,0%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Can't comment,Decreased,Not at all important,,1,1,,,Will decrease considerably,Will decrease slightly,Will decrease slightly,Will decrease considerably,,Social Science / Humanities,1995,Finland,Female
Incomplete,United Kingdom,Senior academic researcher with >10 years of experience applying for research grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,United Kingdom,Senior academic researcher with >10 years of experience applying for research grants,20%,30%,50%,Yes,60%,20%,20%,,1,1,,,,Slightly positive,Some partnership,Yes,No partnership,,,,1,,,Slightly positive,3-Jan,6-Apr,6-Apr,9-Jul,3-Jan,,20%,40%,40%,,,,Quite important,Very important,Somewhat important,Somewhat important,20%,20%,,60%,,,50%,,,50%,,,Decreased,Decreased,Decreased,Somewhat important,,,1,,,Will decrease considerably,Will decrease slightly,Will decrease slightly,Will decrease slightly,,Medicine and Life Science,1988,United Kingdom,Male
Complete,Ontario,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,10%,0%,90%,No,,,,,,,,,,,Strong partnership,Yes,No partnership,1,1,,1,,,Slightly positive,3-Jan,,6-Apr,3-Jan,,,50%,,60%,70%,,,Mandatory,Very important,Quite important,Quite important,,20%,,80%,,,10%,80%,,10%,,,Can't comment,Can't comment,Can't comment,Somewhat important,,1,1,,,Will increase slightly,Will increase slightly,Will increase slightly,Will increase slightly,,Natural Science,2013,Canada,Female
Complete,Ontario,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,30%,60%,10%,Can't comment (new researcher),,,,,,,,,,,Strong partnership,Can't comment (new researcher),,,,,,,,,6-Apr,9-Jul,3-Jan,3-Jan,0,0,60%,80%,100%,100%,,,Very important,Very important,Quite important,Quite important,0%,80%,0%,20%,0%,,New researcher (no funding in these years),100%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Can't comment,Can't comment,Can't comment,Very important,,,1,,,Will increase slightly,Will increase slightly,Will increase slightly,Will stay the same,,Natural Science,2010,Canada,Male
Complete,United Kingdom,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,50%,30%,20%,No,,,,,,,,,,,No partnership,No,,,,,,,,,6-Apr,3-Jan,3-Jan,,,,40%,20%,,,,,Quite important,,Somewhat important,,20%,40%,20%,20%,,,,,,,,,Decreased considerably,Stayed the same,Increased considerably,Very important,,,1,,,Will decrease considerably,Will stay the same,Will stay the same,,,Medicine and Life Science,2015,United Kingdom,Female
Complete,New Brunswick,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,40%,60%,,Yes,50%,50%,,,,1,,,,Very negative,Some partnership,Yes,No partnership,,,,1,,,Slightly negative,3-Jan,3-Jan,,3-Jan,3-Jan,,100%,100%,,100%,100%,,Quite important,Somewhat important,Quite important,Not very important,,100%,,,,,,100%,,,,,Decreased,Increased,Increased,Somewhat important,,1,1,,,Will stay the same,Will increase slightly,Will increase slightly,Will stay the same,,Natural Science,1978,Canada,Male
Complete,Quebec,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,70%,20%,10%,Yes,80%,10%,10%,1,1,1,1,,,Neutral,No partnership,No,,,,,,,,,6-Apr,3-Jan,3-Jan,3-Jan,,,50%,0%,0%,80%,0%,0%,Very important,Very important,Not at all important,Not at all important,,50%,,50%,,,,100%,,,,,Decreased considerably,Increased considerably,Increased considerably,Somewhat important,,1,1,,,Will decrease considerably,Will increase slightly,Will increase considerably,Will decrease considerably,,Natural Science,,United Kingdom,Female
Incomplete,Pennsylvania,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Netherlands,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,90%,0%,,No,,,,,,,,,,,No partnership,No,,,,,,,,,16+,,3-Jan,9-Jul,0,0,10%,No need for applications for this research type,10%,,No need for applications for this research type,No need for applications for this research type,Very important,Somewhat important,Quite important,Somewhat important,0%,80%,,20%,,,,,,100%,,,Decreased considerably,Increased,Increased,Somewhat important,,1,1,,,Will decrease considerably,Will increase considerably,Will increase considerably,Will decrease considerably,,Natural Science,2010,Finland,Female
Incomplete,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,20%,10%,70%,No,,,,,,,,,,,Strong partnership,No,,,,,,,,,3-Jan,3-Jan,9-Jul,3-Jan,3-Jan,3-Jan,50%,30%,30%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Very important,Quite important,Somewhat important,10%,50%,20%,20%,0%,,0%,50%,50%,0%,0%,,Decreased,Decreased,Decreased,Somewhat important,,,1,,,Will decrease slightly,Will decrease slightly,Will decrease slightly,Will decrease considerably,,Natural Science,2012,United States,Female
Incomplete,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Iowa,Senior academic researcher with >10 years of experience applying for research grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Oregon,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,80%,10%,10%,No,,,,,,,,,,,Strong partnership,No,,,,,,,,,12-Oct,3-Jan,6-Apr,3-Jan,0,0,20%,10%,30%,0%,0%,0%,Mandatory,Very important,Somewhat important,Can't comment,10%,80%,0%,10%,0%,,20%,0%,0%,80%,0%,,Decreased,Decreased,Decreased,Very important,,1,1,,,Will decrease slightly,Will increase slightly,Will stay the same,Will decrease considerably,,Natural Science,,United States,Female
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,40%,20%,40%,Yes,60%,20%,20%,,1,1,,,,Neutral,Strong partnership,Yes,Some partnership,,1,,1,,,Neutral,6-Apr,3-Jan,6-Apr,9-Jul,3-Jan,3-Jan,50%,50%,80%,40%,40%,50%,Very important,Very important,Somewhat important,Somewhat important,20%,60%,20%,,,,10%,80%,10%,,,,Decreased considerably,Decreased considerably,Decreased,Somewhat important,,,1,,,Will stay the same,Will stay the same,Will stay the same,Will decrease slightly,,Natural Science,1998,Canada,Male
Incomplete,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Manitoba,Senior academic researcher with >10 years of experience applying for research grants,50%,40%,10%,Yes,20%,50%,30%,1,,1,,,,Slightly positive,No partnership,Yes,Some partnership,,,,1,,,Very negative,3-Jan,3-Jan,3-Jan,3-Jan,6-Apr,3-Jan,100%,0%,0%,30%,70%,0%,Very important,Very important,Somewhat important,Quite important,20%,90%,0%,0%,0%,,0%,90%,10%,0%,,,Decreased,Increased,Increased considerably,Somewhat important,,,1,,the answer (in Canada) is heavily dependent on the PM of the time... funding for fundamental research is going up with the new government,Will increase considerably,Will increase slightly,Will stay the same,Will increase considerably,,Medicine and Life Science,1985,Canada,Female
Complete,Belgium,Senior academic researcher with >10 years of experience applying for research grants,100%,0%,0%,No,,,,,,,,,,,No partnership,No,,,,,,,,,9-Jul,0,0,9-Jul,0,0,80%,No need for applications for this research type,No need for applications for this research type,80%,,,Somewhat important,Not at all important,Not at all important,Not at all important,20%,80%,0%,0%,0%,,80%,0%,,,,,Decreased considerably,Increased,Increased considerably,Not very important,,1,1,,,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease slightly,,Medicine and Life Science,,Belgium,Male
Complete,Newfoundland and Labrador,Senior academic researcher with >10 years of experience applying for research grants,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,,,3-Jan,,,100%,No need for applications for this research type,No need for applications for this research type,100%,No need for applications for this research type,No need for applications for this research type,Not at all important,Not at all important,Not at all important,Not at all important,10%,90%,,,,,10%,90%,,,,,Decreased,Can't comment,Increased,Somewhat important,,,1,,,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",2004,Canada,Female
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,0%,60%,40%,No,,,,,,,,,,,Strong partnership,No,,,,,,,,,,3-Jan,3-Jan,,3-Jan,3-Jan,,100%,100%,,100%,100%,Very important,Very important,Quite important,Quite important,0%,100%,0%,0%,0%,,0%,100%,0%,0%,0%,,Can't comment,Can't comment,Can't comment,Very important,,,1,,,Can't comment,Can't comment,Can't comment,Will decrease considerably,"It is not just funding. MORE IMPORTANTLY, universities are not hiring new faculty. So when we senior folks retire we are taking our jobs with us. With 40-60% of undergrad courses taught by sessionals, we have far fewer young academics available to EVEN APPLY for funding. This is the MORE SERIOUS PROBLEM- UNIVERSITIES FULL OF PART-TIMERS",Medicine and Life Science,1978,Canada,Female
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,30%,0%,60%,No,,,,,,,,,,,Strong partnership,Yes,Some partnership,,,,1,,,Slightly positive,6-Apr,0,9-Jul,6-Apr,0,9-Jul,80%,No need for applications for this research type,80%,80%,No need for applications for this research type,70%,Very important,Quite important,Quite important,Not very important,20%,50%,10%,20%,,,30%,60%,0%,10%,,,Decreased,Can't comment,Stayed the same,Somewhat important,,,1,,,Will stay the same,Can't comment,Will increase slightly,Will stay the same,,Medicine and Life Science,1998,Canada,Female
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Alberta,Senior academic researcher with >10 years of experience applying for research grants,80%,10%,10%,Yes,100%,0%,0%,,,1,,,,Very negative,No partnership,Yes,No partnership,,,,1,,,Very negative,9-Jul,,,6-Apr,,,50%,No need for applications for this research type,No need for applications for this research type,60%,No need for applications for this research type,No need for applications for this research type,Very important,Somewhat important,Quite important,Not at all important,,100%,,,,,,100%,,,,,Decreased considerably,Increased,Increased considerably,Not at all important,,1,1,,,Will decrease considerably,Will increase slightly,Will increase considerably,Will decrease considerably,,"Physical Science (eg. math, physics, chemistry, computer science)",1992,Canada,Male
Complete,United Kingdom,Senior academic researcher with >10 years of experience applying for research grants,90%,,0%,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,0,3-Jan,3-Jan,0,3-Jan,50%,No need for applications for this research type,50%,50%,No need for applications for this research type,No need for applications for this research type,Mandatory,Quite important,Quite important,Not very important,,20%,,80%,,,20%,,,80%,,,Decreased considerably,Stayed the same,Increased considerably,Somewhat important,,1,1,,,Will decrease considerably,Will decrease considerably,Will decrease considerably,Will decrease considerably,I'm in the UK. Things are very pessimistic/uncertain here with the recent referendum.,Medicine and Life Science,2005,United Kingdom,Female
Complete,Ohio,Senior academic researcher with >10 years of experience applying for research grants,20%,50%,30%,Yes,20%,60%,20%,,,1,,,,Slightly negative,Some partnership,No,,,,,,,,,6-Apr,9-Jul,3-Jan,6-Apr,9-Jul,3-Jan,70%,80%,100%,70%,80%,90%,Mandatory,Very important,Not very important,Not very important,0%,100%,0%,0%,,,90%,,,10%,,,Decreased considerably,Decreased,Decreased,Not very important,,,1,,,Will decrease considerably,Will decrease slightly,Will decrease slightly,Will decrease slightly,,Natural Science,1991,United States,Male
Incomplete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,40%,10%,50%,Yes,70%,10%,20%,,,1,,,,Slightly negative,Some partnership,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Quebec,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,,,0,,,100%,,,,,,Not at all important,,Not at all important,,10%,90%,0%,0%,0%,,,New researcher (no funding in these years),,,,,Can't comment,Can't comment,Can't comment,Very important,,,1,,,Will decrease considerably,,,Will decrease considerably,,"Physical Science (eg. math, physics, chemistry, computer science)",2003,Canada,Male
Complete,Yukon Territory,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,70%,20%,10%,Yes,90%,10%,,,1,1,,,,Neutral,No partnership,No,,,,,,,,,6-Apr,3-Jan,0,3-Jan,0,0,20%,0%,No need for applications for this research type,10%,0%,No need for applications for this research type,Very important,Quite important,Quite important,Somewhat important,0%,50%,0%,50%,,,0%,100%,0%,0%,0%,,Decreased considerably,Stayed the same,Increased considerably,Very important,,,1,,,Will stay the same,Will stay the same,Will increase slightly,Will stay the same,,Natural Science,2013,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,50%,20%,30%,No,,,,,,,,,,,Some partnership,Yes,Some partnership,,,,1,,,Slightly positive,6-Apr,3-Jan,3-Jan,9-Jul,3-Jan,3-Jan,10%,10%,10%,10%,20%,10%,Mandatory,Quite important,Mandatory,Quite important,0%,90%,10%,0%,0%,,0%,90%,10%,,,,Decreased considerably,Stayed the same,Increased considerably,Not very important,,,1,,,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease slightly,,Interdisciplinary Science,,Canada,Male
Incomplete,New York,Senior academic researcher with >10 years of experience applying for research grants,70%,20%,10%,Yes,100%,0%,0%,1,1,1,,,,Slightly positive,Some partnership,Yes,No partnership,1,1,,1,,,Very positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Nova Scotia,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,30%,0%,70%,Yes,100%,0%,0%,1,1,,,,,Very positive,Some partnership,Yes,No partnership,1,1,,1,,,Very positive,3-Jan,0,6-Apr,6-Apr,0,0,0%,No need for applications for this research type,10%,0%,No need for applications for this research type,No need for applications for this research type,Very important,Quite important,Quite important,Can't comment,20%,60%,10%,10%,0%,,10%,90%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,,Decreased,Somewhat important,,,1,,,Will decrease considerably,Will decrease considerably,Will decrease considerably,Will decrease considerably,,Social Science / Humanities,2012,Canada,Female
Complete,New York,Senior academic researcher with >10 years of experience applying for research grants,0%,10%,90%,No,,,,,,,,,,,Strong partnership,No,,,,,,,,,0,6-Apr,16+,0,6-Apr,16+,No need for applications for this research type,30%,60%,No need for applications for this research type,30%,60%,Mandatory,Mandatory,Quite important,Quite important,0%,50%,30%,20%,0%,,New researcher (no funding in these years),50%,20%,10%,New researcher (no funding in these years),,Can't comment,Stayed the same,Stayed the same,Not very important,,,,1,,Can't comment,Will stay the same,Will stay the same,Will stay the same,,Medicine and Life Science,2004,United States,Male
Incomplete,Czech Republic,Senior academic researcher with >10 years of experience applying for research grants,20%,40%,40%,No,,,,,,,,,,,Some partnership,No,,,,,,,,,3-Jan,3-Jan,3-Jan,3-Jan,3-Jan,3-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Virginia,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",50%,10%,40%,Can't comment (new researcher),,,,,,,,,,,Some partnership,Can't comment (new researcher),,,,,,,,,0,0,3-Jan,0,0,0,0%,No need for applications for this research type,0%,0%,No need for applications for this research type,0%,Mandatory,Can't comment,Not very important,Can't comment,0%,100%,0%,0%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Increased,Increased considerably,Not very important,,,1,,,Will decrease slightly,Will increase slightly,Will increase slightly,Will increase considerably,,Natural Science,2016,United States,Male
Complete,,Senior academic researcher with >10 years of experience applying for research grants,60%,10%,30%,Yes,40%,10%,50%,,1,1,1,,,Very positive,Some partnership,Yes,Some partnership,,1,1,1,,,Very positive,13-15,3-Jan,9-Jul,13-15,0,3-Jan,20%,0%,30%,30%,No need for applications for this research type,No need for applications for this research type,Very important,Somewhat important,Quite important,Somewhat important,10%,70%,10%,20%,,,30%,60%,,10%,,,Stayed the same,Increased,Increased considerably,Very important,1,,1,,,Will decrease slightly,Will decrease slightly,Will increase considerably,Will increase considerably,,Engineering,2003,United States,Male
Incomplete,Minnesota,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,90%,10%,,No,,,,,,,,,,,No partnership,No,,,,,,,,,9-Jul,0,0,3-Jan,0,0,20%,No need for applications for this research type,No need for applications for this research type,30%,No need for applications for this research type,No need for applications for this research type,Somewhat important,Somewhat important,Not at all important,Not at all important,70%,30%,0%,0%,0%,,,,,,,,Decreased,,,,,,,,,,,,,,,,,
Complete,Minnesota,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,20%,30%,50%,No,,,,,,,,,,,Strong partnership,No,,,,,,,,,3-Jan,6-Apr,6-Apr,,3-Jan,6-Apr,90%,100%,100%,100%,100%,100%,Very important,Very important,Quite important,Somewhat important,0%,80%,10%,10%,0%,,10%,90%,,,,,Stayed the same,Stayed the same,Stayed the same,Very important,,,1,,,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease slightly,,Natural Science,2015,United States,Male
Incomplete,Manitoba,Senior academic researcher with >10 years of experience applying for research grants,90%,0%,10%,No,,,,,,,,,,,Some partnership,No,,,,,,,,,6-Apr,0,3-Jan,6-Apr,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Alberta,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",50%,20%,30%,Can't comment (new researcher),,,,,,,,,,,Strong partnership,Can't comment (new researcher),,,,,,,,,3-Jan,0,3-Jan,,,,50%,No need for applications for this research type,50%,,,,Very important,,Quite important,,,50%,50%,,,,,,,,,,Can't comment,Can't comment,Can't comment,Somewhat important,,,,,,Can't comment,Can't comment,Can't comment,Will decrease slightly,,Natural Science,2012,Canada,Male
Incomplete,Tennessee,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,50%,0%,50%,No,,,,,,,,,,,Some partnership,No,,,,,,,,,6-Apr,0,6-Apr,,,,0%,,10%,,,,Somewhat important,Can't comment,Somewhat important,Can't comment,40%,40%,0%,20%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Increased,Stayed the same,Not very important,,,1,,,Will decrease considerably,Will stay the same,Will decrease slightly,Will decrease slightly,,,,,
Complete,Alberta,Senior academic researcher with >10 years of experience applying for research grants,0%,0%,100%,No,,,,,,,,,,,No partnership,Yes,Strong partnership,,1,,,,,Neutral,0,0,3-Jan,0,0,6-Apr,No need for applications for this research type,No need for applications for this research type,70%,,,70%,Very important,Very important,Quite important,Quite important,50%,50%,,,,,10%,60%,30%,New researcher (no funding in these years),New researcher (no funding in these years),,,,,Somewhat important,,,1,,,Will stay the same,Will stay the same,Will increase considerably,Will stay the same,,"Physical Science (eg. math, physics, chemistry, computer science)",1986,Canada,Male
Complete,Israel,Senior academic researcher with >10 years of experience applying for research grants,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,6-Apr,0,0,6-Apr,0,0,50%,No need for applications for this research type,No need for applications for this research type,70%,No need for applications for this research type,No need for applications for this research type,Not at all important,Not at all important,Not at all important,Not at all important,50%,50%,0%,0%,0%,,50%,50%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Stayed the same,,,Not at all important,,,1,,,Will stay the same,Will stay the same,Will stay the same,Will decrease slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",1971,Israel,Male
Complete,Belgium,Senior academic researcher with >10 years of experience applying for research grants,0%,70%,30%,Yes,40%,60%,,1,1,1,,,,Very positive,Strong partnership,Yes,Some partnership,1,1,,1,,,Very positive,9-Jul,12-Oct,,9-Jul,9-Jul,,No need for applications for this research type,60%,No need for applications for this research type,30%,50%,No need for applications for this research type,Mandatory,Somewhat important,Mandatory,Not at all important,,40%,,60%,,,,100%,,0%,,I had a few very small non-profit grants.,Decreased,Stayed the same,Can't comment,Very important,,1,,,"this is a tough one.  In general, I have shifted sectors, and by doing that, I have opened up new funding sources.  Because i have done that, it is less clear to me how much I have changed, and how much the landscape has changed",Will decrease considerably,Will increase considerably,Will increase considerably,Will stay the same,"It should decrease the rate at which folks go in to basic research, and increase folks going into applied research.   The question is too vague to really know how to answer, however.  What is ""the next generation"" and when is their persuit?  I would think we will still get lots of people applying to grad school, and it professors accept students, they will come.  Leaving graduate school, I predict fewer will choose to continue in academia. ",Other,2000,United States,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,90%,,10%,No,,,,,,,,,,,Some partnership,No,,,,,,,,,3-Jan,,3-Jan,3-Jan,,3-Jan,50%,,50%,50%,,100%,Quite important,Very important,Quite important,Mandatory,10%,60%,20%,10%,,,10%,80%,10%,,,,Decreased,Increased,Increased considerably,Somewhat important,,1,1,,,Will increase slightly,Will stay the same,Will stay the same,Will decrease slightly,This question is not well worded.,Natural Science,1980,Canada,Male
Complete,Ontario,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,10%,50%,40%,Can't comment (new researcher),,,,,,,,,,,Some partnership,Can't comment (new researcher),,,,,,,,,0,3-Jan,3-Jan,0,0,0,30%,70%,90%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Can't comment,Quite important,Can't comment,20%,50%,30%,0%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Increased,Increased considerably,Very important,,1,1,,,Can't comment,Will stay the same,Will increase slightly,Will stay the same,,Engineering,2014,Canada,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,90%,0%,10%,Yes,100%,0%,0%,1,,1,,,,Very positive,No partnership,No,,,,,,,,,9-Jul,0,3-Jan,9-Jul,0,0,80%,No need for applications for this research type,100%,90%,No need for applications for this research type,No need for applications for this research type,Mandatory,Not at all important,Can't comment,Can't comment,10%,90%,0%,20%,0%,,New researcher (no funding in these years),100%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Can't comment,Decreased considerably,Very important,,1,1,,,Will increase slightly,Will increase slightly,Will increase slightly,Will decrease slightly,,Natural Science,1992,Canada,Male
Complete,Israel,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,70%,30%,,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,3-Jan,0,0,0,0,0,80%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Not at all important,Not at all important,Not at all important,Not at all important,60%,40%,,,,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Increased,Stayed the same,,Not very important,1,,,,,Will decrease slightly,,,Will decrease slightly,,Social Science / Humanities,2016,Israel,Male
Complete,United Kingdom,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,70%,30%,10%,Yes,90%,10%,0%,1,1,1,1,,,Slightly positive,No partnership,No,,,,,,,,,6-Apr,6-Apr,0,6-Apr,3-Jan,0,60%,80%,No need for applications for this research type,40%,80%,No need for applications for this research type,Very important,Very important,Somewhat important,Not very important,0%,80%,0%,20%,0%,,New researcher (no funding in these years),90%,New researcher (no funding in these years),10%,New researcher (no funding in these years),,Decreased,Stayed the same,Increased,Somewhat important,,1,1,,,Will decrease slightly,Will stay the same,Will stay the same,Will decrease considerably,,Medicine and Life Science,2007,United Kingdom,Male
