"Status","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","NA","Country"
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","50%","30%","20%","Yes","30%","20%","50%",NA,NA,1,NA,1,"Change in employer from government lab to university","Very positive","Some partnership","Yes","Strong partnership",NA,NA,NA,1,1,"change in employer from government lab to university","Slightly positive","9-Jul","9-Jul","9-Jul","3-Jan","6-Apr","6-Apr","40%","30%","20%","70%","30%","60%","Mandatory","Mandatory","Quite important","Quite important","10%","80%","10%","0%","","","30%","50%","20%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Decreased","Decreased","Not at all important",NA,1,1,NA,"There has been a large reorientation in the goals of science funding towards ever more applied research, which makes it difficult to perform any of the basic research upon which long-term advances in the sciences depend","Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly","I expect the funding trends (shifting funds from basic science to applied applied) to continue.  I have noticed that many young scientists (e.g. postdoc level) are giving up careers in research to work in industry. However, this is not necessarily a bad thing, as having bright, research-trained workers in industry can be extremely effective. The big question is whether any of the young research stars who would otherwise have been pushing forward the boundaries are leaving science in this way, i.e., is science losing its 'seed corn' in the coming generation of scientists?","Interdisciplinary Science","2001","Canada","Male","","Canada"
"Complete","Prince Edward Island","Senior academic researcher with > 10 years of experience applying for research grants","40%","","60%","Yes","70%","","30%",1,NA,1,NA,NA,"","Slightly positive","Strong partnership","Yes","No partnership",1,1,NA,1,NA,"","Slightly positive","6-Apr","0","9-Jul","12-Oct","","9-Jul","30%","No need for applications for this research type","100%","10%","No need for applications for this research type","70%","Mandatory","Very important","Quite important","Somewhat important","50%","","50%","","","","20%","","60%","20%","","","Decreased considerably","Can't comment","Increased considerably","Somewhat important",NA,1,1,NA,"","Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly","","Medicine and Life Science","1990","Canada","Female","","Canada"
"Complete","Saskatchewan","Senior academic researcher with > 10 years of experience applying for research grants","90%","0%","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","0","3-Jan","6-Apr","0","3-Jan","20%","No need for applications for this research type","100%","50%","No need for applications for this research type","0%","Very important","Very important","Quite important","Somewhat important","20%","50%","30%","0%","","","40%","60%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Increased considerably","Very important",NA,NA,1,NA,"","Can't comment","Can't comment","Will stay the same","Will decrease considerably","","Interdisciplinary Science","1988","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","","","6-Apr","","","80%","","","80%","","","Not at all important","Not at all important","Not at all important","Not at all important","","100%","","","","","","100%","","","","","Stayed the same","Increased","Increased","Very important",NA,1,1,NA,"","Will increase slightly","Will increase considerably","Will increase considerably","Will stay the same","","Natural Science","1980","Canada","Male","","Canada"
"Complete","Saskatchewan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","30%","30%","40%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Strong partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","Quite important","Quite important","Quite important","Somewhat important","50%","30%","10%","10%","","","60%","30%","","10%","","","Decreased","Decreased","Decreased","Very important",NA,NA,NA,NA,"","","","","","","Medicine and Life Science","","Canada","Female","","Canada"
"Complete","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","","","0","","","30%","","","","","","Very important","Can't comment","Somewhat important","Can't comment","40%","60%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Can't comment","Somewhat important",NA,1,1,NA,"","Will stay the same","Will increase considerably","Will increase considerably","Will decrease slightly","","Medicine and Life Science","2004","Canada","Female","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","100%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Not very important","Not very important","0%","100%","0%","0%","0%","","0%","100%","0%","0%","0%","","Decreased considerably","Increased considerably","Increased considerably","Somewhat important",NA,1,1,NA,"","Will stay the same","Will increase slightly","Will increase slightly","Can't comment","","Physical Science (eg. math, physics, chemistry, computer science)","1985","Canada","Male","Good luck!","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","80%","20%","","Yes","100%","","",1,NA,NA,NA,NA,"","Neutral","Some partnership","Yes","No partnership",1,NA,NA,NA,NA,"","Neutral","6-Apr","3-Jan","","6-Apr","0","","90%","70%","","90%","70%","","Somewhat important","Not at all important","Not very important","Not at all important","","80%","10%","0%","10%","grants at universities where I am ""adjunct"" ","","80%","New researcher (no funding in these years)","New researcher (no funding in these years)","20%","grants at universities where I am ""adjunct""  ","Decreased","Stayed the same","Increased","Not very important",NA,1,1,NA,"While the Harper government has left,  the damage lies heavy on the land. The funding decisions of the past must be actively reversed.  The hirees that now head institutes and granting agencies [ especially NSERC] remain with an anti-basic research bias. Until fundamental changes are made to re-focus, and  until the management of agencies such as NSERC are removed/changed,  basic research is still at risk in Canada. ","Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly","The damage of the last  10 years of government has discouraged at least one generation of scientists from even starting with  [ and/or remaining in] basic research. I have graduated excellent young people year-upon-year and they have largely left the country or accepted reduced opportunity here in Canada. It is a devastating  result and will be spoken of around camp-fires for decades to come whenever scientists gather in this country and abroad.  The managers of our grant establishment should be ashamed for directing money away from basic research to one scam after another of giving money to corporate interests. They remain rewarded and not named-and-shamed as they should be.       ","Natural Science","1974","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","50%","50%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",1,NA,NA,NA,NA,"","Neutral","3-Jan","12-Oct","12-Oct","0","0","3-Jan","0%","0%","10%","No need for applications for this research type","No need for applications for this research type","0%","Quite important","Quite important","Somewhat important","Somewhat important","60%","20%","0%","20%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Decreased","Decreased","Not very important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly","","Medicine and Life Science","2004","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","70%","","30%","Yes","50%","50%","0%",1,1,1,NA,NA,"","Very positive","Strong partnership","Yes","Some partnership",1,NA,NA,1,NA,"","Very positive","3-Jan","3-Jan","","3-Jan","3-Jan","3-Jan","50%","100%","100%","100%","100%","No need for applications for this research type","Very important","Quite important","Quite important","Not very important","10%","80%","10%","0%","0%","","10%","90%","New researcher (no funding in these years)","","","","Can't comment","Can't comment","Can't comment","Very important",NA,1,1,NA,"","Will stay the same","Will increase considerably","Will increase considerably","Can't comment","In training students the goal of achieving a research position is the most important one. The problem of research type does not seem to impact them until they apply for jobs and funding.. Are we doing enough to inform them that theses choices need to be made? I imagine it is filed dependent and some NSERC areas are very applied.","Natural Science","1976","Canada","Male","I have been in the system since 1971 and funded continuously since assuming a position in 1981, I have seen more or less the same extent of worry since 1971 about the two levels of research (""use-inspired"" is a new one). Time to retire.","Canada"
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly positive","16+","","","16+","3-Jan","","70%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","","","","Quite important","Quite important","Not very important","20%","70%","","10%","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Can't comment","Somewhat important",NA,1,NA,NA,"","Will stay the same","Will stay the same","Will stay the same","Will decrease considerably","","Medicine and Life Science","","Canada","Male","The government wants ""translational"" research, ""from the bench to the bedside""... unfortunately, basic research is systemically underfunded and therefore very soon there will be no more ""bench"".    BASIC SCIENCE IS THE BASIS OF ANY KIND OF SCIENCE, medical, translational, etc.  No one wants to pay for what really matters: generate knowledge that perhaps has no immediate human benefit but who knows?  I think that CRISPR is the best example.  In our actual funding situation, Canada would have never funded such breakthrough... but now that it works they are interested!","Canada"
