"Country","Country_work","nation","gender","Location","what_participant_group","field_research","practical_applications_important_11_15","practical_applications_important_6_10","id"
"United States","United States","United States","Male","Massachusetts","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Somewhat important","Somewhat important",2675
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","Quite important",2676
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","Quite important",2677
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Quite important",2678
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",2679
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Somewhat important",2680
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Quite important",2681
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","Somewhat important",2682
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Somewhat important",2683
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Very important",2684
"","Uruguay","Uruguay","Female","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Can't comment",2685
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Somewhat important",2686
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Somewhat important",2687
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Quite important",2688
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",2689
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Quite important",2690
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Can't comment","Can't comment",2691
"","Uruguay","Uruguay","Male","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Mandatory","Very important",2692
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Mandatory","Very important",2693
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Can't comment","Can't comment",2694
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Mandatory","Very important",2695
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",2696
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Can't comment","Can't comment",2697
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Quite important",2698
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Mandatory","Somewhat important",2699
"United States","Uruguay","United States","Female","New York","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Not at all important",2700
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Somewhat important",2701
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",2702
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",2703
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","",2704
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Quite important",2705
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Somewhat important","Very important",2706
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Very important",2707
"Canada","Uruguay","Canada","Female","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",2708
"Iceland","Uruguay","Iceland","Male","Iceland","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",2709
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Not at all important","Somewhat important",2710
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Somewhat important",2711
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","Quite important","Quite important",2712
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","",2713
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Not at all important","Not at all important",2714
"United States","United States","United States","Male","Virginia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Can't comment","Can't comment",2715
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",2716
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",2717
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Somewhat important","Can't comment",2718
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Quite important",2719
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",2720
"","Uruguay","Uruguay","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Somewhat important","Somewhat important",2721
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Very important",2722
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Quite important",2723
"Malta","Malta","Malta","Female","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Not at all important",2724
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Very important","Very important",2725
"Japan","Malta","Malta","Male","Japan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Somewhat important",2726
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Other","Somewhat important","Somewhat important",2727
"Malta","Malta","Malta","Female","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","",2728
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Somewhat important",2729
"Romania","Malta","Malta","Male","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Mandatory","Can't comment",2730
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Very important",2731
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Mandatory","Very important",2732
"Malta","Malta","Malta","Female","Malta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Very important",2733
"United Kingdom","Malta","Malta","Female","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","",2734
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Very important",2735
"Malta","Malta","Malta","Female","Malta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Very important",2736
"Malta","Malta","Malta","Female","Malta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","",2737
"Malta","Malta","Malta","Male","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Can't comment","Can't comment",2738
"Malta","Malta","Malta","Male","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Mandatory","",2739
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Somewhat important","Somewhat important",2740
"Luxembourg","Malta","Malta","Female","Luxembourg","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Quite important",2741
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Can't comment","Very important",2742
"Malta","Malta","Malta","Female","Malta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Very important",2743
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Quite important",2744
"Malta","Malta","Malta","Male","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Quite important","Quite important",2745
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Not at all important","Not at all important",2746
"Ethiopia","Ethiopia","Ethiopia","Male","Ethiopia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Somewhat important",2747
"Ethiopia","Ethiopia","Ethiopia","Male","Ethiopia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Quite important","",2748
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Quite important",2749
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Very important","Can't comment",2750
"Ethiopia","Ethiopia","Ethiopia","Male","Ethiopia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Very important",2751
"Malta","Malta","Malta","Male","Malta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",2752
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Somewhat important",2753
"Canada","Canada","Canada","Male","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Somewhat important","Somewhat important",2754
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Very important",2755
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Can't comment","Can't comment",2756
"Mexico","Mexico","Mexico","Male","Mexico","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",2757
"United States","United States","United States","Male","Arizona","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",2758
"Mexico","Mexico","Mexico","Male","Mexico","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Quite important","Quite important",2759
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",2760
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Can't comment",2761
"South Africa","South Africa","South Africa","Female","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Not at all important",2762
"Cameroon","Cameroon","Cameroon","Female","Cameroon","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","","",2763
"","Nigeria","Nigeria","Male","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Can't comment",2764
"","Egypt","Egypt","Female","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Somewhat important",2765
"Malaysia","Malaysia","Malaysia","Female","Malaysia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Somewhat important",2766
"Kenya","","Kenya","Male","Kenya","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Interdisciplinary Science","Mandatory","Somewhat important",2767
"Belgium","Uganda","Uganda","Male","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Quite important","Somewhat important",2768
"Uganda","Uganda","Uganda","Female","Uganda","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","","",2769
"Canada","India","Canada","Female","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","Quite important",2770
"Chile","Chile","Chile","Male","Chile","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Not at all important",2771
"Chile","Chile","Chile","Male","Chile","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Somewhat important",2772
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Quite important",2773
"India","India","India","Female","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Can't comment",2774
"Chile","Chile","Chile","Male","Chile","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","",2775
"Chile","Chile","Chile","Female","Chile","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Somewhat important","Somewhat important",2776
"United Kingdom","Chile","Chile","Male","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Mandatory","Mandatory",2777
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",2778
"United Kingdom","Ethiopia","United Kingdom","Male","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Very important",2779
"Spain","Spain","Spain","Male","Spain","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Very important","Quite important",2780
"India","India","India","Male","India","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",2781
"","India","India","Male","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Very important",2782
"India","India","India","Female","India","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Somewhat important",2783
"United States","Chile","Chile","Male","Arizona","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Very important","Can't comment",2784
"","India","India","Male","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",2785
"India","India","India","Male","India","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",2786
"Kenya","Kenya","Kenya","Male","Kenya","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Very important",2787
"Indonesia","India","India","Male","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Very important",2788
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Somewhat important","Can't comment",2789
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","",2790
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","","Not at all important",2791
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",2792
"France","Uruguay","France","Male","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",2793
"United States","United States","United States","Male","Iowa","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",2794
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Other","Very important","Very important",2795
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",2796
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Somewhat important",2797
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Other","Can't comment","Can't comment",2798
"India","India","India","Male","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","",2799
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Can't comment","Can't comment",2800
"India","India","India","Male","India","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",2801
"India","India","India","Male","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Quite important","",2802
"","India","India","Male","","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Very important","Somewhat important",2803
"India","India","India","Female","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Quite important",2804
"India","India","India","Male","India","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Mandatory",2805
"Japan","India","India","Male","Japan","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Somewhat important","Somewhat important",2806
"India","India","India","Male","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Mandatory","Very important",2807
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",2808
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Somewhat important","Somewhat important",2809
"India","India","India","Female","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Very important","Mandatory",2810
"India","India","India","Female","India","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",2811
"Switzerland","India","Switzerland","Male","Switzerland","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",2812
"Canada","India","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",2813
"India","India","India","Female","India","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Very important",2814
"India","India","India","Male","India","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Somewhat important",2815
"India","India","India","Male","India","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Quite important",2816
"Indonesia","India","India","Male","Indonesia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",2817
"India","India","India","Female","India","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Somewhat important",2818
"India","India","India","Male","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Can't comment","",2819
"India","India","India","Female","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","","",2820
"India","India","India","Male","India","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Somewhat important",2821
"India","India","India","Male","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Quite important","",2822
"","India","India","Male","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",2823
"United States","United States","United States","Male","Minnesota","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",2824
"United States","United States","United States","Male","Massachusetts","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Quite important","Quite important",2825
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Very important",2826
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Quite important",2827
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Very important","",2828
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",2829
"Argentina","Argentina","Argentina","Female","Argentina","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Somewhat important",2830
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",2831
"Argentina","Uruguay","Uruguay","Female","Argentina","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Somewhat important",2832
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other","Mandatory","Quite important",2833
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Quite important",2834
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Somewhat important","Not at all important",2835
"Brazil","Uruguay","Uruguay","Male","Brazil","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",2836
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Somewhat important",2837
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Quite important",2838
"Brazil","Brazil","Brazil","Male","Brazil","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Quite important",2839
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Not at all important",2840
"","Uruguay","Uruguay","Male","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Very important",2841
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Not at all important",2842
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Can't comment",2843
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",2844
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",2845
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Quite important","",2846
"","Uruguay","Uruguay","Female","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Not at all important","Not at all important",2847
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",2848
"Uruguay","Uruguay","Uruguay","Female","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Not at all important",2849
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Somewhat important",2850
"","Uruguay","Uruguay","Female","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Mandatory","Quite important",2851
"Spain","Spain","Spain","Male","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",2852
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",2853
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Not at all important",2854
"Uruguay","Uruguay","Uruguay","Male","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quite important","Quite important",2855
"Uruguay","","Uruguay","Female","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Very important",2856
"Turkey","Turkey","Turkey","Female","Turkey","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Somewhat important",2857
"India","India","India","Female","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Very important","Somewhat important",2858
"Belgium","Belgium","Belgium","Female","Belgium","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Very important",2859
"Belgium","Belgium","Belgium","Female","Belgium","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Quite important","Can't comment",2860
"Canada","United States","United States","Male","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Mandatory","Quite important",2861
"Canada","Iran","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",2862
"","Germany","Germany","Male","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Mandatory","Mandatory",2863
