"Country","Country_work","gender","nation","Location","what_participant_group","field_research","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","id"
"United States","United States","Female","United States","Florida","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","4-6","0","0","2127"
"United States","United States","Female","United States","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","7-9","1-3","0","4-6","1-3","0","2128"
"Canada","Canada","Female","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10-12","0","0","7-9","0","0","2129"
"United States","United States","Female","United States","Georgia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","1-3","0","10-12","1-3","0","2130"
"United States","United States","Male","United States","Rhode Island","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","4-6","0","0","2131"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","16+","1-3","0","16+","0","2132"
"United States","United States","Male","United States","Kansas","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","16+","0","4-6","0","0","0","2133"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","1-3","4-6","0","0","2134"
"Sweden","Sweden","Male","Sweden","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","4-6","10-12","0","4-6","4-6","0","2135"
"United States","United States","Male","United States","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","4-6","1-3","0","4-6","0","0","2136"
"United States","United States","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","0","1-3","10-12","0","1-3","7-9","2137"
"United States","United States","Female","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","0","0","7-9","0","0","2138"
"United States","United States","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","13-15","1-3","1-3","10-12","1-3","1-3","2139"
"United States","United States","Female","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","0","1-3","1-3","0","2140"
"United States","United States","Female","United States","Maine","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","4-6","1-3","4-6","0","1-3","2141"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","0","4-6","0","0","2142"
"United States","United States","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","16+","7-9","4-6","16+","0","1-3","2143"
"United States","United States","Female","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","0","0","7-9","0","0","2144"
"United States","United States","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","1-3","0","10-12","0","0","2145"
"United States","United States","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","4-6","1-3","1-3","4-6","1-3","2146"
"United States","United States","Female","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","1-3","0","1-3","0","0","2147"
"United States","United States","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","0","0","7-9","0","0","2148"
"United States","United States","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","0","0","4-6","0","0","2149"
"United States","United States","Male","United States","Louisiana","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","1-3","0","4-6","0","0","2150"
"United States","United States","Female","United States","Florida","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","1-3","0","4-6","0","0","2151"
"United States","United States","Female","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","1-3","0","0","2152"
"Canada","Canada","Female","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","16+","1-3","1-3","13-15","1-3","2153"
"United States","United States","Female","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","0","1-3","0","0","1-3","0","2154"
"United States","United States","Male","United States","Florida","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","0","1-3","4-6","0","1-3","7-9","2155"
"United States","United States","Male","United States","Florida","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","1-3","0","4-6","1-3","0","2156"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","4-6","0","1-3","0","0","0","2157"
"United States","","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","7-9","16+","1-3","7-9","16+","2158"
"United States","United States","Male","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","4-6","1-3","0","2159"
"Canada","Canada","Female","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","0","1-3","1-3","0","0","2160"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","0","1-3","0","0","2161"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","0","0","0","0","0","2162"
"Germany","Germany","Male","Germany","Germany","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","4-6","7-9","1-3","4-6","1-3","0","2163"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","7-9","7-9","0","7-9","7-9","0","2164"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10-12","0","0","7-9","0","0","2165"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","16+","0","0","16+","0","0","2166"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","0","1-3","0","0","2167"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","1-3","1-3","0","1-3","2168"
"Australia","Australia","","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","0","10-12","1-3","0","10-12","0","2169"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","7-9","0","0","7-9","0","1-3","2170"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","0","0","10-12","0","0","2171"
"France","Australia","Female","Australia","France","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","0","4-6","4-6","0","4-6","4-6","2172"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","4-6","0","0","1-3","0","2173"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","16+","16+","1-3","7-9","4-6","2174"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","0","4-6","0","0","4-6","2175"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","0","1-3","1-3","1-3","1-3","1-3","2176"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","13-15","1-3","4-6","7-9","4-6","2177"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","0","13-15","4-6","0","10-12","1-3","2178"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","0","16+","0","0","16+","0","2179"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","13-15","0","1-3","4-6","0","1-3","2180"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","0","16+","0","0","7-9","2181"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","10-12","0","1-3","13-15","1-3","2182"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","7-9","0","0","1-3","0","0","2183"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","10-12","4-6","1-3","13-15","4-6","0","2184"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","1-3","4-6","0","4-6","1-3","0","2185"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","0","1-3","1-3","1-3","2186"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","0","0","1-3","0","0","2187"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","16+","10-12","1-3","16+","13-15","2188"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","4-6","4-6","0","1-3","0","0","2189"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","0","10-12","10-12","0","4-6","4-6","2190"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","2191"
"United States","United States","Male","United States","Ohio","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","1-3","4-6","4-6","1-3","1-3","1-3","2192"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","2193"
"United States","United States","Female","United States","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","10-12","4-6","0","10-12","0","0","2194"
"Antigua and Barbuda","United Kingdom","Female","United Kingdom","Antigua and Barbuda","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","10-12","0","0","7-9","0","0","2195"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","13-15","0","7-9","7-9","0","2196"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","7-9","0","4-6","4-6","0","2197"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","4-6","0","1-3","4-6","0","0","2198"
"Australia","Australia","Female","Australia","Australia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Interdisciplinary Science","0","0","0","0","0","0","2199"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","0","4-6","1-3","0","4-6","2200"
"China","Australia","Male","Australia","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","4-6","1-3","1-3","4-6","1-3","2201"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","1-3","0","4-6","1-3","0","2202"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","7-9","0","7-9","0","0","2203"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","7-9","4-6","1-3","7-9","4-6","2204"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","10-12","10-12","0","10-12","7-9","0","2205"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","16+","0","1-3","16+","0","1-3","2206"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","4-6","1-3","7-9","1-3","0","2207"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","10-12","1-3","0","10-12","1-3","0","2208"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","1-3","0","7-9","1-3","0","2209"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","0","0","4-6","0","0","2210"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","7-9","16+","1-3","0","0","0","2211"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","7-9","0","0","1-3","0","0","2212"
"Australia","Australia","Female","Australia","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","2213"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10-12","0","0","4-6","0","0","2214"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10-12","0","1-3","10-12","0","1-3","2215"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","4-6","0","4-6","1-3","0","2216"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","7-9","0","10-12","0","0","0","2217"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","1-3","0","0","2218"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","16+","1-3","1-3","16+","1-3","4-6","2219"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","4-6","1-3","0","4-6","1-3","0","2220"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","4-6","4-6","1-3","4-6","4-6","2221"
"Australia","Australia","Male","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","16+","0","0","1-3","0","0","2222"
"Australia","Australia","Female","Australia","Australia","","Natural Science","0","4-6","1-3","0","1-3","0","2223"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","2224"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","0","10-12","0","0","13-15","2225"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","1-3","0","4-6","0","0","2226"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","0","1-3","0","1-3","1-3","2227"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","4-6","0","0","2228"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","13-15","1-3","0","7-9","1-3","0","2229"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","4-6","1-3","0","1-3","1-3","2230"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","7-9","1-3","1-3","7-9","1-3","1-3","2231"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","13-15","4-6","10-12","13-15","1-3","4-6","2232"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","4-6","1-3","0","1-3","2233"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","7-9","1-3","0","4-6","1-3","0","2234"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","4-6","0","0","2235"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","16+","1-3","0","1-3","0","0","2236"
"Australia","Australia","Male","Australia","Australia","","Physical Science (eg. math, physics, chemistry, computer science)","10-12","1-3","0","4-6","0","0","2237"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","4-6","7-9","4-6","1-3","0","2238"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","1-3","1-3","1-3","1-3","4-6","2239"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","0","1-3","1-3","0","0","2240"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","0","4-6","1-3","0","0","2241"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","4-6","0","7-9","10-12","0","2242"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","7-9","1-3","4-6","4-6","1-3","2243"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","1-3","0","13-15","0","0","2244"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","1-3","1-3","1-3","1-3","0","2245"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10-12","16+","4-6","7-9","7-9","4-6","2246"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","0","4-6","0","0","2247"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","1-3","1-3","0","1-3","1-3","2248"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","1-3","0","0","2249"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","4-6","0","1-3","1-3","0","2250"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","4-6","4-6","4-6","4-6","1-3","2251"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","0","1-3","7-9","0","1-3","2252"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","1-3","1-3","1-3","1-3","1-3","2253"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","10-12","1-3","1-3","10-12","1-3","1-3","2254"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","1-3","0","1-3","0","0","2255"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","7-9","0","1-3","7-9","0","0","2256"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","0","1-3","1-3","0","1-3","1-3","2257"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","7-9","0","0","7-9","0","0","2258"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","1-3","1-3","0","1-3","2259"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","4-6","0","0","2260"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","7-9","1-3","1-3","7-9","1-3","0","2261"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","4-6","4-6","0","4-6","2262"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","0","1-3","4-6","0","0","2263"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","0","0","1-3","1-3","0","2264"
"Germany","Australia","Male","Australia","Germany","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","10-12","0","0","7-9","0","0","2265"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","4-6","1-3","4-6","4-6","1-3","2266"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","0","0","13-15","0","0","13-15","2267"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","1-3","1-3","1-3","0","2268"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","7-9","7-9","0","7-9","4-6","0","2269"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","4-6","4-6","1-3","4-6","4-6","2270"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","13-15","1-3","0","7-9","0","0","2271"
"Australia","Australia","Female","Australia","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","7-9","0","0","4-6","0","0","2272"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","7-9","0","0","4-6","0","0","2273"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","16+","1-3","1-3","1-3","0","2274"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","0","7-9","1-3","0","4-6","2275"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","1-3","1-3","0","1-3","2276"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10-12","0","0","4-6","0","0","2277"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","4-6","1-3","1-3","4-6","0","2278"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","16+","16+","16+","13-15","7-9","7-9","2279"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","10-12","0","0","10-12","0","0","2280"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","0","0","1-3","0","0","2281"
"Sweden","Australia","Female","Australia","Sweden","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","7-9","0","1-3","0","0","0","2282"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","7-9","0","0","7-9","0","0","2283"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","1-3","0","7-9","0","0","2284"
"Netherlands","Australia","Female","Australia","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","0","1-3","0","0","2285"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","1-3","0","1-3","0","0","2286"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","1-3","0","4-6","1-3","0","2287"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","1-3","0","4-6","1-3","0","2288"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","0","4-6","10-12","0","1-3","13-15","2289"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","4-6","1-3","4-6","1-3","1-3","2290"
"Australia","Australia","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","0","1-3","4-6","1-3","1-3","2291"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","0","1-3","1-3","0","2292"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","1-3","0","10-12","1-3","0","10-12","2293"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","0","0","0","2294"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","1-3","0","4-6","0","0","2295"
"","Australia","Male","Australia","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","4-6","0","0","2296"
"United States","United States","Male","United States","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","7-9","1-3","1-3","1-3","0","0","2297"
"France","Australia","Male","Australia","France","Senior academic researcher with >10 years of experience applying for research grants","Other","4-6","4-6","1-3","1-3","1-3","1-3","2298"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","0","1-3","7-9","0","1-3","2299"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","4-6","0","0","4-6","0","2300"
